name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
0n1 Force,Ethereum,"48,088.24 ETH","6,338.52 ETH",0.718 ETH,2.4038 ETH,,"7,777","4,300"
MekaVerse,Ethereum,"48,066.63 ETH","6,844.23 ETH",0.669 ETH,3.6116 ETH,,"8,888","4,780"
NFT Worlds,Ethereum,"42,909.51 ETH","95,822.49 ETH",8.8 ETH,2.3111 ETH,,"10,000",804
Hashmasks,Ethereum,"41,821.34 ETH","12,680.61 ETH",0.51 ETH,2.0615 ETH,,"16,364","5,126"
Karafuru,Ethereum,"39,231.8 ETH","17,522.63 ETH",2.85 ETH,3.9338 ETH,,"5,554","3,680"
Invisible Friends,Ethereum,"36,865.83 ETH","39,559.11 ETH",6.15 ETH,8.5834 ETH,,"5,000","4,116"
Creature World,Ethereum,"34,862.69 ETH","7,021.67 ETH",0.64 ETH,1.3843 ETH,,"10,000","6,231"
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
CryptoPunks,Ethereum,"883,641.07 ETH","600,519.65 ETH",--,44.7 ETH,,"9,999","3,424"
Bored Ape Yacht Club,Ethereum,"486,515.26 ETH","1,193,350.21 ETH",110.9 ETH,19.07 ETH,,"9,999","6,416"
Mutant Ape Yacht Club,Ethereum,"307,927.98 ETH","499,407.29 ETH",25.99 ETH,10.72 ETH,,"18,582","12,293"
Azuki,Ethereum,"177,615.33 ETH","340,807.25 ETH",26.63 ETH,8.2405 ETH,,"10,000","5,464"
CLONE X,Ethereum,"168,584.56 ETH","425,433.62 ETH",19 ETH,11.58 ETH,,"19,187","8,874"
WIN NFT HORSE,BSC,"444,309,206.55 BUSD","1,372,243,571.9 BUSD",272 BUSD,"57,770.02 BUSD",,"10,000",878
Doodles,Ethereum,"102,261.95 ETH","164,530.38 ETH",15.98 ETH,4.9054 ETH,,"10,000","4,622"
Meebits,Ethereum,"101,943.79 ETH","107,702.48 ETH",4.3 ETH,5.3947 ETH,,"20,000","6,198"
Cool Cats,Ethereum,"97,756.85 ETH","89,434.56 ETH",8.4 ETH,3.6147 ETH,,"9,941","5,385"
Bored Ape Kennel Club,Ethereum,"79,794.69 ETH","78,886.76 ETH",7.6 ETH,4.0709 ETH,,"9,602","5,511"
Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,051 ETH",1.95 ETH,6.383 ETH,,"7,779","2,566"
Cryptoadz,Ethereum,"64,670.39 ETH","23,089.6 ETH",2.898 ETH,3.2823 ETH,,"7,014","3,997"
World of Women,Ethereum,"64,364.61 ETH","88,572.78 ETH",8.269 ETH,2.7742 ETH,,"10,000","5,323"
Genesis StarSharks Mystery Box,BSC,"197,246,211.33 BUSD","88,284,305.09 BUSD",450 BUSD,"15,480 BUSD",,"10,000",339
CyberKongz,Ethereum,"53,808.48 ETH","24,999.28 ETH",5 ETH,8.7679 ETH,,"5,000","2,375"
Pudgy Penguins,Ethereum,"52,461.17 ETH","27,652.21 ETH",2.4 ETH,1.5079 ETH,,"8,888","4,361"
HAPE Prime,Ethereum,"52,273.7 ETH","12,318.61 ETH",1.3 ETH,5.814 ETH,,"8,192","5,414"
Veefriends,Ethereum,"49,033.09 ETH","178,295.47 ETH",15.1 ETH,11.94 ETH,,"10,255","5,247"
0n1 Force,Ethereum,"48,088.24 ETH","6,338.52 ETH",0.718 ETH,2.4038 ETH,,"7,777","4,300"
MekaVerse,Ethereum,"48,066.63 ETH","6,844.23 ETH",0.669 ETH,3.6116 ETH,,"8,888","4,780"
NFT Worlds,Ethereum,"42,909.51 ETH","95,822.49 ETH",8.8 ETH,2.3111 ETH,,"10,000",804
Hashmasks,Ethereum,"41,821.34 ETH","12,680.61 ETH",0.51 ETH,2.0615 ETH,,"16,364","5,126"
Karafuru,Ethereum,"39,231.8 ETH","17,522.63 ETH",2.85 ETH,3.9338 ETH,,"5,554","3,680"
Invisible Friends,Ethereum,"36,865.83 ETH","39,559.11 ETH",6.15 ETH,8.5834 ETH,,"5,000","4,116"
Creature World,Ethereum,"34,862.69 ETH","7,021.67 ETH",0.64 ETH,1.3843 ETH,,"10,000","6,231"
PhantaBear,Ethereum,"33,736.86 ETH","8,531.02 ETH",0.8 ETH,1.9734 ETH,,"10,000","5,186"
Fluf World,Ethereum,"32,997.24 ETH","40,365.67 ETH",4 ETH,1.7356 ETH,,"9,999","3,693"
mfers,Ethereum,"32,965.35 ETH","38,397.7 ETH",3.096 ETH,1.4126 ETH,,"10,021","5,338"
CyberKongz VX,Ethereum,"32,035.5 ETH","22,412.82 ETH",1.225 ETH,1.5663 ETH,,"14,825","2,938"
Prime Ape Planet,Ethereum,"29,363.3 ETH","3,042.69 ETH",0.29 ETH,1.9841 ETH,,"7,979","5,030"
3Landers,Ethereum,"29,294.54 ETH","20,590.67 ETH",1.9 ETH,1.6935 ETH,,"10,000","5,611"
The Doge Pound,Ethereum,"28,881.07 ETH","7,349.75 ETH",0.638 ETH,1.5177 ETH,,"10,000","5,539"
Lazy Lions,Ethereum,"27,969.62 ETH","15,520.72 ETH",1.2799 ETH,1.0631 ETH,,"10,079","5,112"
CyberBrokers,Ethereum,"26,904.88 ETH","53,571.45 ETH",4.18 ETH,2.7245 ETH,,"9,987","3,681"
Zipcy's SuperNormal,Ethereum,"26,069.03 ETH","3,685.55 ETH",0.36 ETH,2.2537 ETH,,"8,888","4,526"
Kaiju Kingz,Ethereum,"26,002.64 ETH","11,959.84 ETH",1.189 ETH,3.1734 ETH,,"5,807","3,294"
DeadFellaz,Ethereum,"25,801.17 ETH","21,714.65 ETH",2 ETH,1.0399 ETH,,"9,999","6,197"
VOX,Ethereum,"24,540.65 ETH","20,823.46 ETH",0.668 ETH,1.3525 ETH,,"8,888","3,409"
alien frens,Ethereum,"24,057.59 ETH","25,913.7 ETH",2.48 ETH,0.8749 ETH,,"10,000","6,722"
World of Women Galaxy,Ethereum,"23,683.23 ETH","35,169.67 ETH",1.4 ETH,1.8971 ETH,,"20,921","11,051"
Capsule House,Ethereum,"23,550.79 ETH","16,421.19 ETH",1.2875 ETH,1.0375 ETH,,"10,000","3,884"
SupDucks,Ethereum,"23,065.8 ETH","10,659.28 ETH",0.94 ETH,1.2281 ETH,,"10,001","3,597"
Sneaky Vampire Syndicate,Ethereum,"22,294.3 ETH","4,317.21 ETH",0.42 ETH,1.41 ETH,,"8,887","1,372"
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
,,,$--,,,,,
CryptoPunks,Ethereum,"883,641.07 ETH","600,519.65 ETH",--,44.7 ETH,,"9,999","3,424"
Bored Ape Yacht Club,Ethereum,"486,515.26 ETH","1,193,350.21 ETH",110.9 ETH,19.07 ETH,,"9,999","6,416"
Mutant Ape Yacht Club,Ethereum,"307,927.98 ETH","499,407.29 ETH",25.99 ETH,10.72 ETH,,"18,582","12,293"
Azuki,Ethereum,"177,615.33 ETH","340,807.25 ETH",26.63 ETH,8.2405 ETH,,"10,000","5,464"
CLONE X,Ethereum,"168,584.56 ETH","425,433.62 ETH",19 ETH,11.58 ETH,,"19,187","8,874"
WIN NFT HORSE,BSC,"444,309,206.55 BUSD","1,372,243,571.9 BUSD",272 BUSD,"57,770.02 BUSD",,"10,000",878
Doodles,Ethereum,"102,261.95 ETH","164,530.38 ETH",15.98 ETH,4.9054 ETH,,"10,000","4,622"
Meebits,Ethereum,"101,943.79 ETH","107,702.48 ETH",4.3 ETH,5.3947 ETH,,"20,000","6,198"
Cool Cats,Ethereum,"97,756.85 ETH","89,434.56 ETH",8.4 ETH,3.6147 ETH,,"9,941","5,385"
Bored Ape Kennel Club,Ethereum,"79,794.69 ETH","78,886.76 ETH",7.6 ETH,4.0709 ETH,,"9,602","5,511"
Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,051 ETH",1.95 ETH,6.383 ETH,,"7,779","2,566"
Cryptoadz,Ethereum,"64,670.39 ETH","23,089.6 ETH",2.898 ETH,3.2823 ETH,,"7,014","3,997"
World of Women,Ethereum,"64,364.61 ETH","88,572.78 ETH",8.269 ETH,2.7742 ETH,,"10,000","5,323"
Genesis StarSharks Mystery Box,BSC,"197,246,211.33 BUSD","88,284,305.09 BUSD",450 BUSD,"15,480 BUSD",,"10,000",339
CyberKongz,Ethereum,"53,808.48 ETH","24,999.28 ETH",5 ETH,8.7679 ETH,,"5,000","2,375"
Pudgy Penguins,Ethereum,"52,461.17 ETH","27,652.21 ETH",2.4 ETH,1.5079 ETH,,"8,888","4,361"
HAPE Prime,Ethereum,"52,273.7 ETH","12,318.61 ETH",1.3 ETH,5.814 ETH,,"8,192","5,414"
Veefriends,Ethereum,"49,033.09 ETH","178,295.47 ETH",15.1 ETH,11.94 ETH,,"10,255","5,247"
0n1 Force,Ethereum,"48,088.24 ETH","6,338.52 ETH",0.718 ETH,2.4038 ETH,,"7,777","4,300"
MekaVerse,Ethereum,"48,066.63 ETH","6,844.23 ETH",0.669 ETH,3.6116 ETH,,"8,888","4,780"
NFT Worlds,Ethereum,"42,909.51 ETH","95,822.49 ETH",8.8 ETH,2.3111 ETH,,"10,000",804
Hashmasks,Ethereum,"41,821.34 ETH","12,680.61 ETH",0.51 ETH,2.0615 ETH,,"16,364","5,126"
Karafuru,Ethereum,"39,231.8 ETH","17,522.63 ETH",2.85 ETH,3.9338 ETH,,"5,554","3,680"
Invisible Friends,Ethereum,"36,865.83 ETH","39,559.11 ETH",6.15 ETH,8.5834 ETH,,"5,000","4,116"
Creature World,Ethereum,"34,862.69 ETH","7,021.67 ETH",0.64 ETH,1.3843 ETH,,"10,000","6,231"
PhantaBear,Ethereum,"33,736.86 ETH","8,531.02 ETH",0.8 ETH,1.9734 ETH,,"10,000","5,186"
Fluf World,Ethereum,"32,997.24 ETH","40,365.67 ETH",4 ETH,1.7356 ETH,,"9,999","3,693"
mfers,Ethereum,"32,965.35 ETH","38,397.7 ETH",3.096 ETH,1.4126 ETH,,"10,021","5,338"
